name,short_description,duration
Data analyst,"Аналізуй дані, які допоможуть бізнесу ухвалювати обґрунтовані рішення на основі тенденцій і фактів",3
UI/UX designer,Створюй візуально привабливі та інтуїтивно зрозумілі для користувачів дизайни інтерфейсів,4
QA engineer,"Перевіряй програмне забезпечення на помилки, щоб користувачі отримали якісний продукт",3
Digital marketer,"Створюй маркетингові кампанії, щоб допомагати бізнесу ставати впізнаваним і розвивати свій бренд",3
Project manager,"Аналізуй вимоги, узгоджуй дії команд і керуй ресурсами, щоб вкладатися в дедлайни й досягати цілей",3
Python developer,"Пиши й підтримуй код на Python для різного програмного забезпечення, аналізу даних і машинного навчання",4
Front-end developer,"Розробляй видимі частини вебсторінок і мобільних застосунків, щоб кожен клік і скрол були плавними",5
Full-stack developer,Розробляй продукт самостійно — від створення видимої частини (frontend) до серверної (backend),5
DevOps engineer,"Налагоджуй інструменти і процеси, щоб програмне забезпечення швидше доходило до користувачів",4
Java developer,"Розробляй надійне програмне забезпечення на Java, працюй з базами даних і серверною логікою",4
Recruiter,Шукай і знаходь талановитих кандидатів для конкретних ролей і допомагай адаптуватись новачкам,4
PPC manager,"Аналізуй аудиторію, запускай рекламу та оптимізуй трафік для більшої впізнаваності бренду та зростання продажів",3
SMM manager,"Веди соцмережі бренду: створюй контент, залучай аудиторію та безпосередньо впливай на продажі",4
Automation QA engineer,"Створюй автоматизовані тести, щоб швидко знаходити помилки та перевіряти якість програмного забезпечення",3
Business analyst,"Виявляй потреби бізнесу, аналізуй його виклики та перетворюй їх на чіткі вимоги й продумані рішення",3
